rsmi,psmi,ea,dh
[C:1]([c:2]1[c:3]([H:10])[c:4]([H:11])[c:5]([H:12])[n:6]1[H:13])([H:7])([H:8])[H:9],[C:1]([C+:2]1[C:3]([H:10])=[C-:4][C:5]([H:11])([H:12])[N:6]1[H:13])([H:7])([H:8])[H:9],70.12982407044011,60.5654896745351
[C:1]([C:2]([C@@:3]1([H:13])[C:4]([H:14])([H:15])[C:5]([H:16])([H:17])[C:6]([H:18])([H:19])[O:7]1)([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C@@:3]([C:4]([C:5](=[C:6]([H:18])[H:19])[H:16])([H:14])[H:15])([O:7][H:17])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],83.55290286467871,13.2264604112585
[C:1]1([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])=[C:5]([H:14])[C:6]1([H:15])[H:16],[C:1](=[C:2]([H:9])[H:10])([C:6]([C:5]([C:4](=[C:3]([H:11])[H:12])[H:13])([H:7])[H:14])([H:15])[H:16])[H:8],90.412755388873,22.9073067241643
[C:1]([C@@:2]1([H:11])[C@@:3]2([H:12])[C:4]([H:13])([H:14])[C:5]([H:15])=[C:6]([H:16])[C@@:7]12[H:17])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([H:11])[C@@:3]2([H:12])[C:4]([H:13])([H:14])[C:5]([H:15])([H:17])[C:6]([H:16])=[C:7]12)([H:8])([H:9])[H:10],106.502154512014,35.7885458206499
[N:1](=[C:2](/[O:3][C:4]([C:5](=[O:6])[H:11])([H:9])[H:10])[H:8])\[H:7],[N:1](=[C:2](/[O:3][C:4]([C:5][O:6][H:11])([H:9])[H:10])[H:8])\[H:7],81.0015672031019,51.0591233054064
[C:1]([C:2]12[C:3]([H:10])([H:11])[C:4]([H:12])([C:5]1([H:13])[H:14])[C:6]2([H:15])[H:16])([H:7])([H:8])[H:9],[C:1]([C:2]1([C:6]([H:12])([H:15])[H:16])[C:3]([H:10])([H:11])[C:4][C:5]1([H:13])[H:14])([H:7])([H:8])[H:9],71.0590372583801,52.08838062954129
[C:1]([O:2][C@@:3]1([H:10])[C:4]([H:11])([H:12])[C@:5]1([C:6]([H:14])([H:15])[H:16])[H:13])([H:7])([H:8])[H:9],[C:1]([O:2][C:6]([H:14])([H:15])[H:16])([H:7])([H:8])[H:9].[C:3]1([H:10])=[C:5]([H:13])[C:4]1([H:11])[H:12],120.729911287658,49.03556840958179
[C:1]([C:2]([C@@:3]([N:4]([H:13])[H:14])([C:5]#[N:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]1([H:7])([H:8])[C:2]([H:10])([H:11])[C@:3]([N:4]([H:13])[H:14])([H:12])[C:5][N:6]1[H:9],94.7685980471036,37.8632526032196
[C:1]1([H:8])([H:9])[C@@:2]2([H:10])[C:3]([H:11])([H:12])[O:4][C:5]([H:13])=[N:6][C@@:7]12[H:14],[C:1]1([H:8])([H:9])[C@@:2]2([H:10])[C:3]([H:11])([H:12])[O:4][C@@:5]2([H:13])[N:6]=[C:7]1[H:14],84.904810374032,2.2811325693927995
[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[C:5]([H:12])([H:13])[C@@:6]21[H:14],[C:1]1([H:8])=[C:2]([H:9])[C:3]1([C:4]1([H:11])[C:5]([H:12])=[C:6]1[H:14])[H:10].[H:7][H:13],100.477955097372,58.6778788862776
[C:1]([c:2]1[c:3]([C:4]([H:11])([H:12])[H:13])[c:5]([H:14])[c:6]([H:15])[n:7]1[H:16])([H:8])([H:9])[H:10],[C:1]([C:2](=[C:3]=[C:5]([C:4]([H:11])([H:12])[H:13])[H:14])[N:7]([C:6][H:15])[H:16])([H:8])([H:9])[H:10],160.828709453013,90.4064149592909
[C:1]([C@@:2]1([H:10])[N:3]([H:11])[C@:4]1([C:5](=[O:6])[H:13])[H:12])([H:7])([H:8])[H:9],[C:1]([C:5](=[O:6])[H:13])([H:7])([H:8])[H:9].[C:2]1([H:10])=[C:4]([H:12])[N:3]1[H:11],108.830109690813,60.2648844814225
[C:1]([O:2]/[C:3](=[N:4]\[H:11])[N:5]([C:6](=[O:7])[H:13])[H:12])([H:8])([H:9])[H:10],[C:1]([N:4]([C:3](=[O:2])[N:5]([C:6](=[O:7])[H:13])[H:12])[H:11])([H:8])([H:9])[H:10],56.4184850892338,-19.9900576748011
[N:1]#[C:2][C@@:3]1([H:7])[C:4]([H:8])([H:9])[C:5]([H:10])([H:11])[O:6]1,[N:1]#[C:2][C@@:3]([C:4](=[C:5]([H:10])[H:11])[H:9])([O:6][H:8])[H:7],91.64187583835472,-4.537786266513639
[C:1]1([H:8])([H:9])[C@:2]2([H:10])[O:3][C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[O:6][C@:7]12[H:15],[C:1]1([H:9])=[C:7]([H:15])[C:2]1([O:3][C:4]([C:5]([O:6][H:8])([H:13])[H:14])([H:11])[H:12])[H:10],73.7375819049228,26.243012422586304
[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C@:6]12[H:16],[C:1](=[C:6]([C:2](=[C:3]([H:10])[H:11])[H:9])[H:16])([H:7])[H:8].[C:4](=[C:5]([H:14])[H:15])([H:12])[H:13],101.181775040924,35.8296831400555
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([N:4]([C:5]([H:15])([H:16])[H:17])[C:6](=[O:7])[H:18])[H:11])([H:8])([H:9])[H:10],[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])(/[N:4]=[C:6](/[O:7][C:5]([H:15])([H:16])[H:17])[H:18])[H:11])([H:8])([H:9])[H:10],74.4737846933861,17.3222140972855
[C:1]([C:2]([N:3]1[C:4]([H:13])([H:14])[C@:5]1([C:6]([O:7][H:18])([H:16])[H:17])[H:15])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C:4](/[N:3]=[C:5](/[C:6]([O:7][H:18])([H:16])[H:17])[H:15])([H:13])[H:14])([H:11])[H:12])([H:8])([H:9])[H:10],90.8161728515407,-14.5499414971655
[C:1]([C:2]1([O:3][H:10])[C:4]([H:11])([H:12])[O:5][C:6]1([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]1([H:8])([H:9])[C:2]([O:3][H:10])([C:4]([O:5][H:7])([H:11])[H:12])[C:6]1([H:13])[H:14],97.7662345540516,0.238853543168975
[O:1]([C:2]([C:3]1([C:4]([O:5][H:13])([H:11])[H:12])[C:6]([H:14])([H:15])[O:7]1)([H:9])[H:10])[H:8],[O:1]1[C:2]([H:9])([H:10])[C:3]([C:4]([O:5][H:13])([H:11])[H:12])([O:7][H:8])[C:6]1([H:14])[H:15],75.57956112173441,-0.153485822677393
[O:1]=[C:2]([C@@:3]1([H:9])[O:4][C@@:5]2([H:10])[C:6]([H:11])([H:12])[C@@:7]12[H:13])[H:8],[O:1]=[C:2]([C@@:3]1([H:9])[O:4][C@:5]([C:6][H:12])([H:10])[C:7]1([H:11])[H:13])[H:8],63.945386635585095,58.6057721792595
[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[c:6]1[H:12])([H:7])[H:8],[N+:1]([c:2]1[c-:3][n:4]([H:10])[c:5]([H:11])[c:6]1[H:12])([H:7])([H:8])[H:9],73.41948136790229,65.7722539751919
[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@@:3]3([H:10])[C:4]([H:11])([H:12])[N:5]1[C@@:6]23[H:13],[C:1]1([H:7])([H:8])[C:2]2([H:9])[C:3][C:4]([H:11])([H:12])[N:5]1[C:6]2([H:10])[H:13],59.6174179612193,42.1965503737465
[o:1]1[c:2]([H:6])[c:3]([H:7])[c:4]([H:8])[c:5]1[H:9],[O:1]1[C@@:2]2([H:6])[C:3]([H:7])=[C:4]([H:8])[C@@:5]12[H:9],110.64377591126,64.5932559706257
[C:1]([C:2]([C@@:3]1([C:6]#[C:7][H:15])[C:4]([H:13])([H:14])[O:5]1)([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C@@:3]([O+:5]=[C-:4][H:14])([C:6]#[C:7][H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],81.8782691805875,49.8638554711668
[C:1]([C@@:2]([O:3][H:11])([C:4]([C:5]#[C:6][H:14])([H:12])[H:13])[H:10])([H:7])([H:8])[H:9],[C:1]([C@@:2]([O:3][H:11])(/[C:4](=[C:5](/[C:6][H:14])[H:12])[H:13])[H:10])([H:7])([H:8])[H:9],79.8670234059802,57.367233415342
[O:1]=[C:2]1[O:3][C:4]([H:8])([H:9])[C@@:5]12[C:6]([H:10])([H:11])[O:7]2,[O+:1]#[C-:2].[O:3]=[C:4]([C@@:5]1([H:8])[C:6]([H:10])([H:11])[O:7]1)[H:9],73.7357084893443,5.64284243810737
[O:1]([C:2]([C:3]#[C:4][H:8])([H:6])[H:7])[H:5],[O:1]([C:2](=[C:3]=[C:4]([H:7])[H:8])[H:6])[H:5],62.0443721057916,-5.4996226686317895
[C:1]([C:2]([C:3]#[N:4])([C:5]#[N:6])[H:10])([H:7])([H:8])[H:9],[C:1]([C@@:2]([C:3]#[N:4])([N+:6]#[C-:5])[H:10])([H:7])([H:8])[H:9],59.7246647053552,20.4212240210113
[N:1]([C:2](=[O:3])[C:4]([O:5][C:6](=[O:7])[H:12])([H:10])[H:11])([H:8])[H:9],[N:1]1([H:9])[C@@:2]2([O:3]1)[C:4]([H:10])([H:11])[O:5][C:6]([H:8])([H:12])[O:7]2,132.481115335709,80.57681987714109
[O:1]=[C:2]([N:3]([C:4](=[O:5])[H:8])[H:7])[H:6],[O:1]=[C:2]([N+:3](=[C-:4][O:5][H:8])[H:7])[H:6],73.52175876151759,37.7950405159648
[C:1](/[N:2]=[C:3](/[O:4][C:5]([C:6]([O:7][H:16])([H:14])[H:15])([H:12])[H:13])[H:11])([H:8])([H:9])[H:10],[C:1]([N:2]([C-:3]=[O+:4][C:5]([C:6]([O:7][H:16])([H:14])[H:15])([H:12])[H:13])[H:11])([H:8])([H:9])[H:10],81.467085810856,41.0544373565562
[C:1]([n:2]1[c:3]([H:11])[c:4]([H:12])[c:5]([N:6]([H:13])[H:14])[c:7]1[H:15])([H:8])([H:9])[H:10],[C:1]([N:2]1[C:3]([H:11])=[C:4]([H:12])/[C:5](=[N:6]\[H:13])[C:7]1([H:14])[H:15])([H:8])([H:9])[H:10],73.1368863352164,11.3271753081789
[O:1]([C@@:2]1([H:9])[C:3]([H:10])([H:11])[C@:4]2([C:5]([H:12])([H:13])[N:6]2[H:14])[C:7]1([H:15])[H:16])[H:8],[O:1]([C:2]([C:7]([C@@:4]12[C-:3]([H:11])[N+:6]1([H:14])[C:5]2([H:12])[H:13])([H:15])[H:16])([H:9])[H:10])[H:8],83.56641981644191,65.62236223794599
[C:1]([C:2](=[O:3])[N:4]1[C:5]([H:10])([H:11])[C:6]1([H:12])[H:13])([H:7])([H:8])[H:9],[C:1](/[C:2]([O:3][H:12])=[N:4]/[C:6](=[C:5]([H:10])[H:11])[H:13])([H:7])([H:8])[H:9],59.8107928654705,-4.795183804419981
[O:1]=[C:2]([C:3]([C:4]([C:5]1([H:13])[C:6]([H:14])([H:15])[C:7]1([H:16])[H:17])([H:11])[H:12])([H:9])[H:10])[H:8],[O:1]=[C:2]([C:3]([C:4]([C:5](=[C:7]([H:16])[H:17])[H:13])([H:11])[H:12])([H:9])[H:10])[C:6]([H:8])([H:14])[H:15],74.8716592374536,-10.2946825549869
[C:1]([C@@:2]([O:3][H:11])([C:4]([O:5][H:14])([H:12])[H:13])[C:6]#[C:7][H:15])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([C:6]#[C:7][H:15])[O:3][C:4]1([H:12])[H:13])([H:8])([H:9])[H:10].[O:5]([H:11])[H:14],74.7171889266674,17.6215189436114
[C:1]([C@@:2]1([H:11])[O:3][C:4]([H:12])([H:13])[C@@:5]2([H:14])[C:6]([H:15])([H:16])[C@@:7]12[H:17])([H:8])([H:9])[H:10],[C:1]([C:2]([O:3][C:4]([C:5](=[C:6]([H:15])[H:16])[H:14])([H:12])[H:13])=[C:7]([H:11])[H:17])([H:8])([H:9])[H:10],92.2204509550442,12.1934331592098
[O:1]=[C:2]([c:3]1[c:4]([H:9])[n:5][c:6]([H:10])[n:7]1[H:11])[H:8],[O:1]=[C:2]([c:3]1[c-:4][n:5]([H:9])[c+:6]([H:10])[n:7]1[H:11])[H:8],82.9205506684849,41.4086741714803
[O:1]([C:2]([C:3]([C@@:4]1([H:12])[C:5]([H:13])([H:14])[O:6]1)([H:10])[H:11])([H:8])[H:9])[H:7],[C:3](=[C:4]([C:5]([O:6][H:7])([H:13])[H:14])[H:12])([H:10])[H:11].[O:1]=[C:2]([H:8])[H:9],44.764290555854,5.468912488409231
[C:1]([O:2][C:3](/[C:4](=[N:5]\[O:6][H:13])[C:7]([H:14])([H:15])[H:16])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([N:5]([C@@:4]1([C:7]([H:14])([H:15])[H:16])[O:2][C:3]1([H:11])[H:12])[O:6][H:13])([H:8])([H:9])[H:10],104.055124206502,14.2435412416434
[N:1](=[C:2](/[N:3]([C:4](=[O:5])[H:9])[H:8])[H:7])\[H:6],[N:1](=[C:2](/[N+:3](=[C-:4][O:5][H:9])[H:8])[H:7])\[H:6],72.8661015277955,37.374086906704
[O:1]([C:2]([c:3]1[n:4][n:5]([H:11])[c:6]([H:12])[n:7]1)([H:9])[H:10])[H:8],[O:1]([C:2]([N:7]=[C:3]=[N:4][N:5]([C:6][H:12])[H:11])([H:9])[H:10])[H:8],141.379513150704,87.6835322374214
[C:1]([C:2]([C:3]([C:4]1([H:15])[C:5]([H:16])([H:17])[O:6][C:7]1([H:18])[H:19])([H:13])[H:14])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1](=[C:2]([C:3]([C:4]1([H:15])[C:5]([H:16])([H:17])[O:6][C:7]1([H:18])[H:19])([H:13])[H:14])[H:11])([H:9])[H:10].[H:8][H:12],113.962292342174,32.2942112805853
[C:1]([C:2]([C@@:3]1([H:13])[O:4][C@@:5]2([H:14])[C:6]([H:15])([H:16])[C@@:7]12[H:17])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C@@:3]1([H:13])[O+:4]=[C-:5][C@:7]1([C:6]([H:14])([H:15])[H:16])[H:17])([H:11])[H:12])([H:8])([H:9])[H:10],52.689885984773504,25.914611421525898
[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[C:5]([H:15])([H:16])[O:6]1)([H:7])([H:8])[H:9],[C:1](/[C:2](=[C:3](/[C:4]([C:5]([O:6][H:12])([H:15])[H:16])([H:13])[H:14])[H:11])[H:10])([H:7])([H:8])[H:9],79.95567404456891,9.98442252228678
[C:1]([C:2]([c:3]1[c:4]([H:13])[n:5]([H:14])[n:6][n:7]1)([H:11])[H:12])([H:8])([H:9])[H:10],[C-:2](=[C:3]1[C:4]([H:13])=[N+:5]([H:14])[N:6]=[N:7]1)[H:12].[C:1]([H:8])([H:9])([H:10])[H:11],93.402327342338,87.3202425194014
[O:1]([C:2]([C@@:3]([O:4][H:11])([C:5](=[O:6])[H:12])[H:10])([H:8])[H:9])[H:7],[O:1]1[C:2]([H:8])([H:9])[C@:3]([O:4][H:11])([H:10])[C@:5]1([O:6][H:7])[H:12],50.66525570784229,13.368049758773198
[O:1]([C@@:2]1([H:9])[C:3]([H:10])([H:11])[O:4][C:5]([H:12])=[N:6][C:7]1([H:13])[H:14])[H:8],[O:1]([C:2](=[C:3]([H:10])[H:11])[H:9])[H:8].[O:4]=[C:5]([N:6]=[C:7]([H:13])[H:14])[H:12],52.0600694062325,17.6973877350248
[C:1]([C@@:2]1([H:10])[C@@:3]2([H:11])[C:4]([H:12])([H:13])[O:5][C@@:6]12[H:14])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[C:4]([H:12])([H:13])[O:5][C@@:6]1([C:3][H:11])[H:14])([H:7])([H:8])[H:9],128.833191757984,59.45134715045079
[N:1]([c:2]1[n:3][c:4]([H:10])[n:5][n:6][n:7]1)([H:8])[H:9],[N:1]([C:2]1=[N:3][C@:4]1([N:5]=[N+:6]=[N-:7])[H:10])([H:8])[H:9],79.9011039162656,41.1956091118299
[O:1]=[C:2]([O:3][C:4]1([H:8])[C:5]([H:9])([H:10])[C:6]1([H:11])[H:12])[H:7],[O:1]=[C:2]([C:6]([C:5]([C:4](=[O:3])[H:8])([H:9])[H:10])([H:11])[H:12])[H:7],65.9211803526795,-8.433221316794059
[C:1]([C:2]([c:3]1[c:4]([H:13])[n:5]([H:14])[n:6][n:7]1)([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C:3]#[C:4][H:13])([H:11])[H:12])([H:8])([H:9])[H:10].[N:5](=[N+:6]=[N-:7])[H:14],89.8794360447487,60.2297544254775
[C:1]([N:2]([C:3]([H:10])([H:11])[H:12])[C:4]([C:5](=[O:6])[H:15])([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([N:2]([C:3]([H:10])([H:11])[H:12])[C:4]([C:5][O:6][H:15])([H:13])[H:14])([H:7])([H:8])[H:9],80.8199704596896,51.4104320857432
[O:1]=[C:2]([C@@:3]1([H:9])[C:4]([H:10])([H:11])[C@:5]1([C:6]#[N:7])[H:12])[H:8],[O+:1]([C:2](=[C:3]([C:5](=[C:6]=[N-:7])[H:12])[H:9])[H:8])=[C:4]([H:10])[H:11],83.02504225068509,59.7841614854485
[n:1]1([H:6])[c:2]([H:7])[c:3]([H:8])[n:4][c:5]1[H:9],[N:1](=[C:5](/[N:4]1[C:2]([H:7])=[C:3]1[H:8])[H:9])\[H:6],110.690783269377,89.67203849126741
[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[C@:4]1([C:5](=[O:6])[H:12])[H:11])[H:7],[O:1]([C:2][C:3]([C:4]([C:5](=[O:6])[H:12])([H:8])[H:11])([H:9])[H:10])[H:7],55.3721862513121,34.4468455761443
[C:1]([C@@:2]1([H:11])[O:3][C:4]12[C:5]([H:12])([H:13])[O:6][C:7]2([H:14])[H:15])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([H:11])[O:3][C:4]12[C-:5]([H:13])[O+:6]=[C:7]2[H:14])([H:8])([H:9])[H:10].[H:12][H:15],98.3587948320968,90.601868917502
[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C@:3]3([H:10])[C:4]([H:11])([H:12])[C@@:5]1([H:13])[N:6]23,[C:1]([C@@:2]1([H:9])[C@@:3]2([H:10])[C:4]([H:11])([H:12])[C:5]([H:8])([H:13])[N:6]12)[H:7],90.1313570905585,72.1039270694933
[O:1](/[N:2]=[C:3]1/[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[C@:6]1([O:7][H:14])[H:13])[H:8],[H:12][H:14].[O:1](/[N:2]=[C:3]1/[C:4]([H:9])([H:10])[C@@:5]1([C:6](=[O:7])[H:13])[H:11])[H:8],112.961045686203,33.4167866137478
[C:1]([C@@:2]1([H:11])[C@:3]([C:4]([H:13])([H:14])[H:15])([H:12])[C@:5]1([C:6]#[N:7])[H:16])([H:8])([H:9])[H:10],[C:1]([C@@:2]([C:3]([C:4]([H:13])([H:14])[H:15])([H:12])[H:16])([C+:5]=[C:6]=[N-:7])[H:11])([H:8])([H:9])[H:10],67.0701287922201,66.8326392127395
[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]1=[O:6])[H:7],[O:1]([C:2][C:3]([C:4]([C:5](=[O:6])[H:8])([H:11])[H:12])([H:9])[H:10])[H:7],62.147793458993206,42.7169627839815
[O:1]([c:2]1[c:3]([H:8])[n:4][c:5]([H:9])[n:6]1[H:10])[H:7],[O:1]([C:2][N:6]([C@:5]1([H:9])[C:3]([H:8])=[N:4]1)[H:10])[H:7],125.956084777291,71.33597910661891
[N:1]([c:2]1[n:3][c:4]([O:5][H:10])[c:6]([H:11])[n:7]1[H:12])([H:8])[H:9],[N:1]([C:2]1=[N:3][C:4]([O:5][H:10])=[C-:6][N+:7]1([H:11])[H:12])([H:8])[H:9],91.0481184673677,83.8799564958132
[c:1]1([H:7])[n:2][n:3][n:4][c:5]([H:8])[n:6]1,[C@:1]12([H:7])[N:2]3[N:3]=[N:4][C@@:5]1([H:8])[N:6]23,79.1580691401849,61.8649091592938
[N:1]([C:2](=[O:3])[C:4]([O:5]/[C:6](=[N:7]/[H:13])[H:12])([H:10])[H:11])([H:8])[H:9],[N:1]([C:2](=[O:3])[C:4]([N:7]([C:6](=[O:5])[H:12])[H:13])([H:10])[H:11])([H:8])[H:9],54.4825132458451,-19.659200792219
[C:1]([C:2]1([H:11])[C:3]([H:12])([H:13])[C:4]2([C:5]([H:14])([H:15])[C:6]2([H:16])[H:17])[C:7]1([H:18])[H:19])([H:8])([H:9])[H:10],[C:1]([C+:2]([C:7]([C:4](=[C:3]([H:12])[H:13])[C:6]([C-:5]([H:14])[H:15])([H:16])[H:17])([H:18])[H:19])[H:11])([H:8])([H:9])[H:10],100.458653032501,100.222684808924
[N:1](=[C:2]1\[C:3]([H:8])([H:9])[N:4]=[C:5]([H:10])[N:6]1[H:11])\[H:7],[N:1](=[C:2]([C:3](=[N:4]\[C:5](=[N:6]\[H:11])[H:10])/[H:9])\[H:8])\[H:7],70.3542537523456,33.517056915732695
[N:1]1([H:7])[C@@:2]2([H:8])[C@:3]3([H:9])[O:4][C@@:5]2([H:10])[C@:6]13[H:11],[N+:1]1([H:7])([H:9])[C@:2]2([H:8])[C-:3]3[O:4][C@:5]2([H:10])[C@@:6]13[H:11],79.0722434390181,56.07632798137871
[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C@@:4]2([H:13])[O:5][C@@:6]12[H:14])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C@@:4]1([C:6](=[O:5])[H:14])[H:13])([H:7])([H:8])[H:9],50.7581939739095,-25.2965997667211
